date,open,high,low,close,volume,unadjusted,putthrough
2016-03-01,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-02,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-03,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-04,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-07,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-08,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-09,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-10,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-11,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-14,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-15,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-16,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-17,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-18,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-21,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-22,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-23,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-24,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-25,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-28,1.00000,1.00000,1.00000,1.00000,0,0,0
2016-03-29,0.98192,0.98192,0.98192,0.98192,0,0,0
2016-03-30,0.98248,0.98248,0.98248,0.98248,0,0,0
2016-03-31,0.97069,0.97069,0.97069,0.97069,0,0,0
2016-04-01,0.96597,0.96597,0.96597,0.96597,0,0,0
2016-04-04,0.96596,0.96596,0.96596,0.96596,0,0,0
2016-04-05,0.96929,0.96929,0.96929,0.96929,0,0,0
2016-04-06,0.98050,0.98050,0.98050,0.98050,0,0,0
2016-04-07,0.98433,0.98433,0.98433,0.98433,0,0,0
2016-04-08,0.97986,0.97986,0.97986,0.97986,0,0,0
2016-04-11,0.98513,0.98513,0.98513,0.98513,0,0,0
2016-04-12,0.98520,0.98520,0.98520,0.98520,0,0,0
2016-04-13,0.98268,0.98268,0.98268,0.98268,0,0,0
2016-04-14,0.98356,0.98356,0.98356,0.98356,0,0,0
2016-04-15,0.98053,0.98053,0.98053,0.98053,0,0,0
2016-04-19,0.97718,0.97718,0.97718,0.97718,0,0,0
2016-04-20,0.98083,0.98083,0.98083,0.98083,0,0,0
2016-04-21,0.98140,0.98140,0.98140,0.98140,0,0,0
2016-04-22,0.99730,0.99730,0.99730,0.99730,0,0,0
2016-04-25,0.99844,0.99844,0.99844,0.99844,0,0,0
2016-04-26,1.01625,1.01625,1.01625,1.01625,0,0,0
2016-04-27,0.99678,0.99678,0.99678,0.99678,0,0,0
2016-04-28,1.00002,1.00002,1.00002,1.00002,0,0,0
2016-04-29,0.99677,0.99677,0.99677,0.99677,0,0,0
2016-05-04,0.99838,0.99838,0.99838,0.99838,0,0,0
2016-05-05,1.01461,1.01461,1.01461,1.01461,0,0,0
2016-05-06,1.03894,1.03894,1.03894,1.03894,0,0,0
2016-05-09,1.02920,1.02920,1.02920,1.02920,0,0,0
2016-05-10,1.03893,1.03893,1.03893,1.03893,0,0,0
2016-05-11,1.04542,1.04542,1.04542,1.04542,0,0,0
2016-05-12,1.02919,1.02919,1.02919,1.02919,0,0,0
2016-05-13,1.02270,1.02270,1.02270,1.02270,0,0,0
